description,id,link,price,reviews,stars,title
"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",549,/test-sites/e-commerce/allinone/product/549,$356.49,6,2.0,Lenovo V110-15IAP
"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",550,/test-sites/e-commerce/allinone/product/550,$364.46,12,1.0,Hewlett Packard 250 G6 Dark Ash Silver
"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",551,/test-sites/e-commerce/allinone/product/551,$372.70,2,2.0,Acer Aspire 3 A315-31 Black
"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",552,/test-sites/e-commerce/allinone/product/552,$379.94,0,2.0,Acer Aspire A315-31-C33J
"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",553,/test-sites/e-commerce/allinone/product/553,$379.95,9,4.0,Acer Aspire ES1-572 Black
"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",554,/test-sites/e-commerce/allinone/product/554,$391.48,10,4.0,Acer Aspire 3 A315-31 Black
"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",555,/test-sites/e-commerce/allinone/product/555,$393.88,9,3.0,Acer Aspire 3 A315-21
"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",530,/test-sites/e-commerce/allinone/product/530,$399.00,4,1.0,Asus VivoBook Max
"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",556,/test-sites/e-commerce/allinone/product/556,$399.99,3,4.0,Asus VivoBook E502NA-GO022T Dark Blue
"Lenovo ThinkPad E31-80, 13.3"" HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",557,/test-sites/e-commerce/allinone/product/557,$404.23,12,1.0,Lenovo ThinkPad E31-80
"Acer Aspire 3 A315-31 Black, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",558,/test-sites/e-commerce/allinone/product/558,$408.98,10,4.0,Acer Aspire 3 A315-31 Black
"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",559,/test-sites/e-commerce/allinone/product/559,$409.63,9,3.0,Lenovo V110-15ISK
"Acer Aspire ES1-732 Black, 17.3"" HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",560,/test-sites/e-commerce/allinone/product/560,$410.46,14,4.0,Acer Aspire ES1-732 Black
"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",561,/test-sites/e-commerce/allinone/product/561,$410.66,4,4.0,Asus VivoBook 15 X540NA-GQ026T
"15.6"", AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",516,/test-sites/e-commerce/allinone/product/516,$416.99,2,2.0,Packard 255 G2
"Asus EeeBook R416NA-FA014T, 14"" FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",562,/test-sites/e-commerce/allinone/product/562,$433.30,1,1.0,Asus EeeBook R416NA-FA014T
"Acer Aspire 3 A315-51, 15.6"" HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",563,/test-sites/e-commerce/allinone/product/563,$436.29,1,1.0,Acer Aspire 3 A315-51
"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",564,/test-sites/e-commerce/allinone/product/564,$436.29,2,1.0,Acer Aspire ES1-572 Black
"Acer Extensa 15 (2540) Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",565,/test-sites/e-commerce/allinone/product/565,$439.73,6,4.0,Acer Extensa 15 (2540) Black
"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 500GB, Linux",566,/test-sites/e-commerce/allinone/product/566,$454.62,9,1.0,Acer Aspire ES1-572 Black
"Lenovo V110-15ISK, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",567,/test-sites/e-commerce/allinone/product/567,$454.73,2,2.0,Lenovo V110-15ISK
"Acer Aspire A315-51-33TG, Black 15.6"" HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",568,/test-sites/e-commerce/allinone/product/568,$457.38,9,3.0,Acer Aspire A315-51-33TG
"Lenovo V110-15IKB, 15.6"" HD, Core i5-7200U, 4GB, 500GB, DOS",569,/test-sites/e-commerce/allinone/product/569,$465.95,7,1.0,Lenovo V110-15IKB
"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6"" FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",570,/test-sites/e-commerce/allinone/product/570,$468.56,1,3.0,Asus VivoBook 15 X540UA-DM260 Chocolate Black
"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",571,/test-sites/e-commerce/allinone/product/571,$469.10,5,3.0,Acer Aspire ES1-572 Black
"Lenovo V510 Black, 14"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",572,/test-sites/e-commerce/allinone/product/572,$484.23,8,3.0,Lenovo V510 Black
"Acer Aspire ES1-572 Black, 15.6"" HD, Core i5-7200U, 4GB, 128GB SSD, Linux",573,/test-sites/e-commerce/allinone/product/573,$485.90,6,3.0,Acer Aspire ES1-572 Black
"Lenovo V510 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",574,/test-sites/e-commerce/allinone/product/574,$487.80,9,2.0,Lenovo V510 Black
"Acer Swift 1 SF113-31 Silver, 13.3"" FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",575,/test-sites/e-commerce/allinone/product/575,$488.64,4,3.0,Acer Swift 1 SF113-31 Silver
"Dell Vostro 15 (3568) Black, 15.6"" FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",531,/test-sites/e-commerce/allinone/product/531,$488.78,14,4.0,Dell Vostro 15
"Acer Aspire 3 A315-51 Black, 15.6"" FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",576,/test-sites/e-commerce/allinone/product/576,$494.71,2,4.0,Acer Aspire 3 A315-51 Black
"Dell Vostro 15 (3568) Red, 15.6"" HD, Core i5-7200U, 4GB, 1TB, Radeon R5 M420 2GB, Linux",577,/test-sites/e-commerce/allinone/product/577,$497.17,9,1.0,Dell Vostro 15 (3568) Red
"Lenovo V510 Black, 15.6"" FHD, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Pro",578,/test-sites/e-commerce/allinone/product/578,$498.23,5,3.0,Lenovo V510 Black
"15.6"", Core i5-4210U, 4GB, 500GB, Windows 8.1",527,/test-sites/e-commerce/allinone/product/527,$520.99,13,2.0,HP 250 G3
"Acer Spin 5 SP513-51 Black, 13.3"" FHD Touch, Core i3-7100U, 4GB, 128GB SSD, Windows 10 Home",532,/test-sites/e-commerce/allinone/product/532,$564.98,0,2.0,Acer Spin 5
"15.6"", Core i5-4200U, 4GB, 750GB, Radeon HD8670M 2GB, Windows",529,/test-sites/e-commerce/allinone/product/529,$577.99,10,2.0,HP 350 G1
"15.6"", Core i5-4200U, 8GB, 1TB, Radeon R7 M265, Windows 8.1",521,/test-sites/e-commerce/allinone/product/521,$581.99,2,1.0,Aspire E1-572G
"15.6"", Core i5-4200U, 6GB, 750GB, Windows 8.1",523,/test-sites/e-commerce/allinone/product/523,$609.99,4,1.0,Pavilion
"Acer Aspire A515-51-5654, Black, 15.6"", FHD, Core i5-8250U, 8GB DDR4, 256GB SSD, Windows 10 Home, ENG",533,/test-sites/e-commerce/allinone/product/533,$679.00,9,2.0,Acer Aspire A515-51-5654
"Dell Inspiron 15 (5567) Fog Gray, 15.6"" FHD, Core i5-7200U, 8GB, 1TB, Radeon R7 M445 4GB, Linux",534,/test-sites/e-commerce/allinone/product/534,$679.00,7,2.0,Dell Inspiron 15
"Asus VivoBook S14 (S406UA-BV041T) Starry Grey, 14"", Core i5-8250U, 8GB, 256GB SSD, Windows 10 Home, Eng kbd",535,/test-sites/e-commerce/allinone/product/535,$729.00,2,1.0,Asus VivoBook S14
"14"", Core i5 2.6GHz, 4GB, 500GB, Win7 Pro 64bit",519,/test-sites/e-commerce/allinone/product/519,$739.99,8,4.0,ProBook
"Moon Silver, 15.6"", Core i7-4510U, 8GB, 1TB, Radeon HD R7 M265 2GB,",524,/test-sites/e-commerce/allinone/product/524,$745.99,12,3.0,Inspiron 15
"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS",536,/test-sites/e-commerce/allinone/product/536,$799.00,7,2.0,Asus ROG STRIX GL553VD-DM256
"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, Windows 10 Home",537,/test-sites/e-commerce/allinone/product/537,$809.00,0,1.0,Acer Nitro 5 AN515-51
"Asus ROG STRIX GL553VD-DM256, 15.6"" FHD, Core i5-7300HQ, 8GB, 1TB, GeForce GTX 1050 2GB, No OS + Windows 10 Home",538,/test-sites/e-commerce/allinone/product/538,$899.00,7,1.0,Asus ROG STRIX GL553VD-DM256
"Lenovo ThinkPad L570, 15.6"" FHD, Core i7-7500U, 8GB, 256GB SSD, Windows 10 Pro",539,/test-sites/e-commerce/allinone/product/539,$999.00,11,3.0,Lenovo ThinkPad L570
"12.5"" Touch, Core i3-4010U, 4GB, 500GB + 16GB SSD Cache,",522,/test-sites/e-commerce/allinone/product/522,$1033.99,13,2.0,ThinkPad Yoga
"Lenovo ThinkPad L460, 14"" FHD IPS, Core i7-6600U, 8GB, 256GB SSD, Windows 10 Pro",579,/test-sites/e-commerce/allinone/product/579,$1096.02,14,4.0,Lenovo ThinkPad L460
"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 4GB, Windows 10 Home",580,/test-sites/e-commerce/allinone/product/580,$1098.42,7,1.0,Dell Inspiron 15 (7567) Black
"MSI GL72M 7RDX, 17.3"" FHD, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",581,/test-sites/e-commerce/allinone/product/581,$1099.00,1,4.0,MSI GL72M 7RDX
"Asus ROG Strix GL553VD-DM535T, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home, Eng kbd",582,/test-sites/e-commerce/allinone/product/582,$1099.00,9,1.0,MSI GL72M 7RDX
"Apple MacBook Air 13.3"", Core i5 1.8GHz, 8GB, 128GB SSD, Intel HD 4000, RUS",583,/test-sites/e-commerce/allinone/product/583,$1101.83,4,2.0,Asus ROG Strix GL553VD-DM535T
"Dell Latitude 5280, 12.5"" HD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",584,/test-sites/e-commerce/allinone/product/584,$1102.66,8,1.0,Dell Latitude 5280
"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home",585,/test-sites/e-commerce/allinone/product/585,$1110.14,4,3.0,Dell Latitude 5480
"Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home",586,/test-sites/e-commerce/allinone/product/586,$1112.91,1,4.0,Lenovo Legion Y520-15IKBM
"Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro",587,/test-sites/e-commerce/allinone/product/587,$1114.55,0,1.0,Toshiba Portege Z30-C-16J Grey
"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home",588,/test-sites/e-commerce/allinone/product/588,$1123.87,1,2.0,Acer Predator Helios 300 (PH317-51)
"Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home",589,/test-sites/e-commerce/allinone/product/589,$1123.87,4,2.0,Acer Aspire 7 A715-71G
"Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home",590,/test-sites/e-commerce/allinone/product/590,$1124.20,10,3.0,Dell Inspiron 17 2in1 (7779) Silver
"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro",591,/test-sites/e-commerce/allinone/product/591,$1133.82,14,4.0,Dell Latitude 5480
"Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home",592,/test-sites/e-commerce/allinone/product/592,$1133.91,13,1.0,Lenovo Legion Y520
"Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG",593,/test-sites/e-commerce/allinone/product/593,$1139.54,7,3.0,Asus AsusPro Advanced BU401LA-FA271G Dark Grey
"Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home",594,/test-sites/e-commerce/allinone/product/594,$1140.62,14,3.0,Acer Nitro 5 AN515-51
"Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro",595,/test-sites/e-commerce/allinone/product/595,$1143.40,5,4.0,Dell Latitude 5480
"Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home",596,/test-sites/e-commerce/allinone/product/596,$1144.20,2,1.0,Dell Inspiron 15 (7567) Black
"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",597,/test-sites/e-commerce/allinone/product/597,$1144.40,10,3.0,Dell Latitude 5580
"Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS",540,/test-sites/e-commerce/allinone/product/540,$1149.00,11,3.0,Lenovo Legion Y520-15IKBM
"MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",598,/test-sites/e-commerce/allinone/product/598,$1149.00,11,1.0,MSI GP62M 7RDX Leopard
"Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home",599,/test-sites/e-commerce/allinone/product/599,$1149.73,12,2.0,Lenovo Yoga 720 Grey
"Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro",600,/test-sites/e-commerce/allinone/product/600,$1154.04,7,1.0,Toshiba Portege Z30-C-16L Grey
"Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro",601,/test-sites/e-commerce/allinone/product/601,$1170.10,0,1.0,Acer TravelMate P645-S-511A Black
"Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home",602,/test-sites/e-commerce/allinone/product/602,$1178.19,6,3.0,Dell Latitude 5580
"15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit",518,/test-sites/e-commerce/allinone/product/518,$1178.99,2,1.0,ThinkPad T540p
"MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home",603,/test-sites/e-commerce/allinone/product/603,$1179.00,2,1.0,MSI GS63 7RD Stealth
"Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro",604,/test-sites/e-commerce/allinone/product/604,$1187.88,5,3.0,Dell Latitude 5480
"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home",605,/test-sites/e-commerce/allinone/product/605,$1187.98,14,3.0,Acer Predator Helios 300 (PH317-51)
"MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",606,/test-sites/e-commerce/allinone/product/606,$1199.00,7,1.0,MSI GL62M 7REX
"MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home",607,/test-sites/e-commerce/allinone/product/607,$1199.00,12,2.0,MSI GL62M 7REX2
"Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",608,/test-sites/e-commerce/allinone/product/608,$1199.73,7,3.0,Lenovo Yoga 910 Grey
"Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",609,/test-sites/e-commerce/allinone/product/609,$1203.41,13,4.0,Toshiba Portege X30-D-10J Black/Blue
"Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",610,/test-sites/e-commerce/allinone/product/610,$1212.16,0,4.0,Lenovo IdeaPad Miix 510 Platinum Silver
"Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home",611,/test-sites/e-commerce/allinone/product/611,$1221.58,9,1.0,Acer Predator Helios 300 (PH317-51)
"12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows",528,/test-sites/e-commerce/allinone/product/528,$1223.99,2,3.0,ThinkPad Yoga
"Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd",612,/test-sites/e-commerce/allinone/product/612,$1235.49,10,2.0,Asus VivoBook Pro 15 N580VN-FI006T Gold Metal
"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux",613,/test-sites/e-commerce/allinone/product/613,$1238.37,0,2.0,Dell Latitude 5480
"Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd",614,/test-sites/e-commerce/allinone/product/614,$1239.20,14,1.0,Asus ZenBook UX530UX-FY040T Blue
"12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit",526,/test-sites/e-commerce/allinone/product/526,$1244.99,10,3.0,ThinkPad X230
"Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd",615,/test-sites/e-commerce/allinone/product/615,$1259.00,7,4.0,Asus ROG Strix GL753VE-GC096T
"Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG",616,/test-sites/e-commerce/allinone/product/616,$1260.13,8,4.0,"Apple MacBook Air 13"""
"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro",617,/test-sites/e-commerce/allinone/product/617,$1271.06,13,1.0,Dell Latitude 5480
"Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home",618,/test-sites/e-commerce/allinone/product/618,$1273.11,8,3.0,Hewlett Packard Spectre 13-v106na Dark Ash Silver
"13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1",525,/test-sites/e-commerce/allinone/product/525,$1281.99,4,3.0,Dell XPS 13
"Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",619,/test-sites/e-commerce/allinone/product/619,$1294.74,6,1.0,Toshiba Portege Z30-C-16K Grey
"MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home",620,/test-sites/e-commerce/allinone/product/620,$1299.00,1,3.0,MSI GL62VR 7RFX
"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",621,/test-sites/e-commerce/allinone/product/621,$1310.39,8,3.0,Dell Latitude 5480
"12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit",520,/test-sites/e-commerce/allinone/product/520,$1311.99,12,3.0,ThinkPad X240
"Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro",622,/test-sites/e-commerce/allinone/product/622,$1326.83,2,1.0,Hewlett Packard ProBook 640 G3
"Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG",623,/test-sites/e-commerce/allinone/product/623,$1333.00,0,1.0,"Apple MacBook Pro 13"" Space Gray"
"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro",624,/test-sites/e-commerce/allinone/product/624,$1337.28,6,1.0,Dell Latitude 5580
"Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home",625,/test-sites/e-commerce/allinone/product/625,$1338.37,11,2.0,Dell Latitude 5480
"Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux",626,/test-sites/e-commerce/allinone/product/626,$1341.22,3,3.0,Dell Latitude 5580
"Apple MacBook Air 13"", Intel Core i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, RUS",627,/test-sites/e-commerce/allinone/product/627,$1347.78,11,2.0,"Apple MacBook Air 13"""
"Lenovo ThinkPad T470, 14"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro",628,/test-sites/e-commerce/allinone/product/628,$1349.23,5,1.0,Lenovo ThinkPad T470
"Lenovo ThinkPad Yoga 370 Black, 13.3"" FHD IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro",629,/test-sites/e-commerce/allinone/product/629,$1362.24,12,2.0,Lenovo ThinkPad Yoga 370 Black
"Toshiba Portege X20W-D-10V Black/Blue, 12.5"" FHD Touch, Core i7-7500U, 8GB, 512GB SSD, Windows 10 Pro",630,/test-sites/e-commerce/allinone/product/630,$1366.32,11,1.0,Toshiba Portege X20W-D-10V Black/Blue
"Asus ASUSPRO B9440UA-GV0279R Gray, 14"" FHD, Core i7-7500U, 16GB, 512GB SSD, Windows 10 Pro, Eng kbd",631,/test-sites/e-commerce/allinone/product/631,$1381.13,4,1.0,Asus ASUSPRO B9440UA-GV0279R Gray
"Lenovo Legion Y720, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 2TB HDD, GeForce GTX 1060 6GB, DOS, RGB backlit keyboard",541,/test-sites/e-commerce/allinone/product/541,$1399.00,8,3.0,Lenovo Legion Y720
"Asus ROG Strix GL702VM-GC146T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1060 3GB, Windows 10 Home, Eng kbd",632,/test-sites/e-commerce/allinone/product/632,$1399.00,10,3.0,Asus ROG Strix GL702VM-GC146T
"Asus ROG Strix GL702ZC-GC154T, 17.3"" FHD, Ryzen 7 1700, 16GB, 256GB + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",542,/test-sites/e-commerce/allinone/product/542,$1769.00,7,4.0,Asus ROG Strix GL702ZC-GC154T
"Asus ROG Strix GL702ZC-GC209T, 17.3"" FHD IPS, Ryzen 7 1700, 16GB, 256GB SSD + 1TB HDD, Radeon RX 580 4GB, Windows 10 Home",543,/test-sites/e-commerce/allinone/product/543,$1769.00,8,1.0,Asus ROG Strix GL702ZC-GC209T
"Asus ROG Strix SCAR Edition GL503VM-ED115T, 15.6"" FHD 120Hz, Core i7-7700HQ, 16GB, 256GB SSD + 1TB SSHD, GeForce GTX 1060 6GB, Windows 10 Home",544,/test-sites/e-commerce/allinone/product/544,$1799.00,8,3.0,Asus ROG Strix SCAR Edition GL503VM-ED115T
description,id,link,price,reviews,stars,title
"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",545,/test-sites/e-commerce/allinone/product/545,$295.99,14,3.0,Asus VivoBook X441NA-GA190
"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",546,/test-sites/e-commerce/allinone/product/546,$299.00,8,2.0,Prestigio SmartBook 133S Dark Grey
"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",547,/test-sites/e-commerce/allinone/product/547,$299.00,12,4.0,Prestigio SmartBook 133S Gold
"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",517,/test-sites/e-commerce/allinone/product/517,$306.99,2,3.0,Aspire E1-510
"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",548,/test-sites/e-commerce/allinone/product/548,$321.94,5,3.0,Lenovo V110-15IAP
"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6"" HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",549,/test-sites/e-commerce/allinone/product/549,$356.49,6,2.0,Lenovo V110-15IAP
"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",550,/test-sites/e-commerce/allinone/product/550,$364.46,12,1.0,Hewlett Packard 250 G6 Dark Ash Silver
"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",551,/test-sites/e-commerce/allinone/product/551,$372.70,2,2.0,Acer Aspire 3 A315-31 Black
"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",552,/test-sites/e-commerce/allinone/product/552,$379.94,0,2.0,Acer Aspire A315-31-C33J
"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",553,/test-sites/e-commerce/allinone/product/553,$379.95,9,4.0,Acer Aspire ES1-572 Black
